text	label
there are strangers in that garden .	1
there is strangers in that garden .	0
there is arriving three men at that station .	0
there are arriving three men at that station .	1
i consider there to be a man in that garden .	1
i consider there a man in that garden .	0
they alleged there to have been many strangers in that garden .	1
they alleged many strangers to have been in that garden .	0
john wagered there to have been a stranger in that haunted house .	1
john wagered a stranger to have been in that haunted house .	0
john tried to kiss mary .	1
john persuaded mary to kiss him .	1
john told mary to kiss him .	1
it is illegal to park here .	1
i remembered him having kissed mary .	1
i reported him having kissed mary .	1
i reported having kissed mary .	1
i enjoy taking a bath .	1
i detest taking a bath .	1
i enjoy him taking a bath .	0
i detest him taking a bath .	0
i saw him kissing mary .	1
i noticed him kissing mary .	1
i noticed kissing mary .	0
there was known to everyone .	0
john 's refusing the offer is shocking .	1
the enemy 's destroying the city was horrific .	1
john 's refusal of the offer was shocking .	1
the enemy 's destruction of the city was horrific .	1
john wanted to leave the room happy and leave the room he did happy .	0
i often send mary home drunk , and she gets there just fine .	1
i raw eat fish drunk .	0
i only eat fish drunk raw .	0
i do n't think fred will , either .	1
josé likes cabbage , and holly does too .	1
josé ate cabbage , and holly has too .	1
josé is eating cabbage , and holly is too .	1
john is leaving but mary 's not .	1
i consider bill intelligent and i consider sally not .	1
